Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,9.78,9.46,1.1119,0.838122
1,9.52,11.5,0.952762,13.5409
2,51.84,11.58,198.45,15.2477
3,36.42,11.62,143.162,14.2297
4,102.48,51.76,277.341,198.399
5,190.04,131.98,388.545,328.207
6,320.98,310.1,462.37,463.506
7,491.06,430.46,504.619,499.034
8,670.82,555.86,478.772,499.523
9,623.94,670.62,475.076,479.053
10,730.78,693.54,453.914,467.843
11,750.84,633.76,443.361,487.23
12,810.94,672.88,404.183,476.089
13,770.96,735.54,431.492,446.742
14,924.58,765.6,276.09,422.104
15,930.94,818.84,274.253,389.22
16,930.94,861.82,274.253,349.839
17,875.68,876.16,339.379,338.197
18,853.34,893.54,365.28,321.716
19,891.02,853.56,328.206,364.833
20,874.28,853.68,342.946,364.515
21,890.94,831.06,328.425,387.96
22,893.42,911.08,322.059,302.804
23,893.9,873.1,320.895,345.557
24,931,893.54,274.048,321.716
25,934.12,919.48,264.031,282.682
26,960.02,953.36,204.168,230.852
27,951.76,950.96,222.61,240.058
28,940.44,907.02,242.501,291.494
29,816.14,935.82,394.383,258.118
30,886.04,976.96,313.998,168.455
31,917.36,953.96,284.954,228.664
32,894.84,977.62,297.653,165.204
33,903.72,913.94,294.734,294.735
34,826.62,954.1,373.681,228.207
35,883.4,899.98,320.832,304.87
36,920.04,934.52,276.654,262.907
37,921.6,918.4,271.468,281.289
38,859.92,919.08,350.793,279.418
39,936.62,898.38,255.622,308.841
40,830.68,935.7,374.102,258.448
41,923.54,955.9,265.092,220.818
42,866.08,891.46,336.933,318.76
43,850.44,950.96,351.018,240.058
44,863.62,910.04,342.184,283.158
45,865.7,908.84,337.061,280.567
46,881.3,968.68,323.634,176.568
47,899.62,879.34,305.074,319.333
48,884.5,928.88,317.709,252.982
49,902.12,920.32,298.861,275.916
