Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,-238.52,-237.67,101.67,119.358
1,-133.84,-146.23,70.1273,74.0839
2,-80.07,-85.68,44.3041,48.7303
3,-66.46,-63.36,35.1515,38.2632
4,-54.5,-50.39,28.9086,28.146
5,-48.83,-42.62,26.9103,24.4411
6,-41.48,-40.53,19.4003,24.5248
7,-36.82,-33.38,13.099,9.57879
8,-35.13,-32.44,11.5563,13.8238
9,-32.49,-30,10.5682,9.46658
10,-28.66,-26.91,5.76689,6.17276
11,-27,-24.92,4.57044,4.5253
12,-24.28,-22.88,3.44386,4.93038
13,-22.36,-21.7,2.68373,5.99242
14,-20.33,-19.31,2.44146,4.56534
15,-18.35,-17.41,2.69446,3.07514
16,-15.73,-16.3,2.60091,3.70776
17,-14.24,-14.39,2.37036,3.21893
18,-12.44,-12.77,1.90332,2.9193
19,-11.14,-11.45,1.81475,3.12815
20,-9.82,-10.45,1.49328,2.45515
21,-9.15,-9.9,1.25025,2.33766
22,-8.46,-10.11,0.833879,2.61269
23,-8.46,-9.3,0.783929,2.18119
24,-8.65,-9.12,1.12254,1.95546
25,-8.45,-8.9,0.808728,1.81742
26,-8.31,-9.02,0.691872,2.16015
27,-8.19,-8.89,0.486069,2.04937
28,-8.38,-8.6,0.850193,1.18918
29,-8.29,-8.65,0.686007,1.52007
30,-8.43,-8.53,0.95616,1.20147
31,-8.48,-8.59,0.858469,1.41489
32,-8.23,-8.56,0.600589,1.35079
33,-8.45,-8.44,0.925235,0.935495
34,-8.4,-8.67,0.816497,1.46374
35,-8.35,-8.73,0.833333,1.46925
36,-8.37,-8.71,0.747454,1.45154
37,-8.52,-8.49,0.969015,0.999949
38,-8.3,-8.8,0.758787,1.75234
39,-8.47,-8.59,0.915136,1.22347
40,-8.34,-8.54,0.713789,1.69026
41,-8.46,-8.64,0.91475,1.01025
42,-8.51,-8.4,0.969171,0.9101
43,-8.37,-8.48,0.83672,0.926381
44,-8.32,-8.4,0.708961,0.852803
45,-8.31,-8.37,0.72048,0.82456
46,-8.41,-8.38,0.877266,0.896458
47,-8.32,-8.65,0.9835,1.39534
48,-8.25,-8.56,0.641573,1.20872
49,-8.39,-8.43,0.839613,0.987344
