Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,-4510.35,-4562.94,1050.73,1101.83
1,-1266.35,-1319.34,283.144,388.583
2,-921.35,-903.43,220.584,252.394
3,-744.82,-733.6,278.008,242.479
4,-562.94,-589.81,207.832,202.859
5,-512.24,-482,245.743,171.704
6,-440.09,-422.11,310.402,187.138
7,-347.47,-373.14,132.376,198.323
8,-321.52,-374.85,118.29,255.29
9,-292.57,-288.54,122.568,83.83
10,-278.75,-283.98,75.6825,84.9866
11,-271.1,-273.18,139.018,123.281
12,-232.81,-275.33,74.3009,180.192
13,-262.34,-249.59,258.211,106.407
14,-208.01,-261.87,64.2598,168.222
15,-204.36,-228.39,51.1513,99.4285
16,-202.37,-238.58,62.2776,152.508
17,-198.89,-230.96,43.5718,123.085
18,-210.25,-225.27,193.685,79.3511
19,-199.15,-240.9,94.1701,188.523
20,-202.45,-190.14,122.247,46.6842
21,-183.86,-202.78,32.531,66.4395
22,-186.59,-183.37,28.942,27.8791
23,-180.49,-193.67,20.9576,39.6212
24,-180.03,-181.94,21.7239,31.0346
25,-181.22,-189.02,20.1673,31.1166
26,-180.13,-183.81,22.3537,24.345
27,-193.52,-192.95,72.1474,102.694
28,-181.62,-180.82,19.9412,19.0292
29,-182.5,-180.42,20.9446,24.6921
30,-176.94,-180.01,21.7928,19.3618
31,-177.14,-183.85,22.9118,32.0197
32,-180.78,-187.95,21.2829,38.7935
33,-174.35,-181.24,22.1192,26.9062
34,-176.6,-179.79,22.3535,15.9338
35,-178.53,-181.81,23.0675,27.7342
36,-177.87,-180.57,20.8184,13.8901
37,-172.83,-177.69,25.2243,15.5464
38,-178.6,-180.81,23.3234,33.643
39,-174.23,-178.86,23.2265,20.0459
